,gameid,run_total,venue_name,home_team,away_team,game_date,status,temp,weather_category,division,league
0,244193,5,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,2009-04-05,Final,60,clear,NL_east,NL
1,244194,6,Minute Maid Park,Houston Astros,Chicago Cubs,2009-04-06,Final,66,roof closed,AL_west,AL
2,244195,10,Rangers Ballpark in Arlington,Texas Rangers,Cleveland Indians,2009-04-06,Final,49,sunny,AL_west,AL
3,244196,17,Chase Field,Arizona Diamondbacks,Colorado Rockies,2009-04-06,Final,80,roof closed,NL_west,NL
4,244197,17,Rogers Centre,Toronto Blue Jays,Detroit Tigers,2009-04-06,Final,68,roof closed,AL_east,AL
5,244199,5,PETCO Park,San Diego Padres,Los Angeles Dodgers,2009-04-06,Final,75,sunny,NL_west,NL
6,244200,15,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,2009-04-06,Final,56,overcast,AL_east,AL
7,244201,3,Great American Ball Park,Cincinnati Reds,New York Mets,2009-04-06,Final,37,overcast,NL_central,NL
8,244202,3,Angel Stadium of Anaheim,Los Angeles Angels,Oakland Athletics,2009-04-06,Final,75,clear,AL_west,AL
9,244203,10,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,2009-04-06,Final,42,cloudy,NL_central,NL
10,244204,7,Hubert H. Humphrey Metrodome,Minnesota Twins,Seattle Mariners,2009-04-06,Final,69,dome,AL_central,AL
11,244206,18,Land Shark Stadium,Miami Marlins,Washington Nationals,2009-04-06,Final,90,partly cloudy,NL_east,NL
12,244207,5,Minute Maid Park,Houston Astros,Chicago Cubs,2009-04-07,Final,68,clear,AL_west,AL
13,244208,3,Chase Field,Arizona Diamondbacks,Colorado Rockies,2009-04-07,Final,88,clear,NL_west,NL
14,244209,9,Rogers Centre,Toronto Blue Jays,Detroit Tigers,2009-04-07,Final,68,roof closed,AL_east,AL
15,244210,16,AT&T Park,San Francisco Giants,Milwaukee Brewers,2009-04-07,Final,58,overcast,NL_west,NL
16,244211,10,Angel Stadium of Anaheim,Los Angeles Angels,Oakland Athletics,2009-04-07,Final,62,cloudy,AL_west,AL
17,244212,12,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,2009-04-07,Final,49,clear,NL_central,NL
18,244213,11,Hubert H. Humphrey Metrodome,Minnesota Twins,Seattle Mariners,2009-04-07,Final,69,dome,AL_central,AL
19,244214,7,Fenway Park,Boston Red Sox,Tampa Bay Rays,2009-04-09,Final,58,sunny,AL_east,AL
20,244215,4,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,2009-04-07,Final,45,cloudy,NL_east,NL
21,244216,17,Minute Maid Park,Houston Astros,Chicago Cubs,2009-04-08,Final,74,partly cloudy,AL_west,AL
22,244217,13,Rangers Ballpark in Arlington,Texas Rangers,Cleveland Indians,2009-04-08,Final,82,cloudy,AL_west,AL
23,244218,11,Chase Field,Arizona Diamondbacks,Colorado Rockies,2009-04-08,Final,78,roof closed,NL_west,NL
24,244219,6,Rogers Centre,Toronto Blue Jays,Detroit Tigers,2009-04-08,Final,68,roof closed,AL_east,AL
25,244220,2,U.S. Cellular Field,Chicago White Sox,Kansas City Royals,2009-04-08,Final,51,cloudy,AL_central,AL
26,244221,7,PETCO Park,San Diego Padres,Los Angeles Dodgers,2009-04-08,Final,62,partly cloudy,NL_west,NL
27,244222,6,AT&T Park,San Francisco Giants,Milwaukee Brewers,2009-04-08,Final,55,partly cloudy,NL_west,NL
28,244223,12,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,2009-04-08,Final,54,partly cloudy,AL_east,AL
29,244224,16,Great American Ball Park,Cincinnati Reds,New York Mets,2009-04-08,Final,54,cloudy,NL_central,NL
30,244225,10,Angel Stadium of Anaheim,Los Angeles Angels,Oakland Athletics,2009-04-08,Final,60,partly cloudy,AL_west,AL
31,244226,11,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,2009-04-08,Final,56,clear,NL_central,NL
32,244227,11,Hubert H. Humphrey Metrodome,Minnesota Twins,Seattle Mariners,2009-04-08,Final,68,dome,AL_central,AL
33,244228,9,Fenway Park,Boston Red Sox,Tampa Bay Rays,2009-04-08,Final,45,cloudy,AL_east,AL
34,244229,10,Land Shark Stadium,Miami Marlins,Washington Nationals,2009-04-08,Final,65,sunny,NL_east,NL
35,244230,23,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,2009-04-08,Final,50,overcast,NL_east,NL
36,244231,20,Rangers Ballpark in Arlington,Texas Rangers,Cleveland Indians,2009-04-09,Final,75,cloudy,AL_west,AL
37,244232,8,Rogers Centre,Toronto Blue Jays,Detroit Tigers,2009-04-09,Final,68,roof closed,AL_east,AL
38,244233,3,U.S. Cellular Field,Chicago White Sox,Kansas City Royals,2009-04-09,Final,53,sunny,AL_central,AL
39,244234,7,PETCO Park,San Diego Padres,Los Angeles Dodgers,2009-04-09,Final,68,partly cloudy,NL_west,NL
40,244235,8,AT&T Park,San Francisco Giants,Milwaukee Brewers,2009-04-09,Final,55,cloudy,NL_west,NL
41,244236,13,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,2009-04-09,Final,61,sunny,AL_east,AL
42,244237,14,Great American Ball Park,Cincinnati Reds,New York Mets,2009-04-09,Final,55,partly cloudy,NL_central,NL
43,244239,3,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,2009-04-09,Final,58,cloudy,NL_central,NL
44,244240,2,Hubert H. Humphrey Metrodome,Minnesota Twins,Seattle Mariners,2009-04-09,Final,68,dome,AL_central,AL
45,244241,11,Land Shark Stadium,Miami Marlins,Washington Nationals,2009-04-07,Final,69,partly cloudy,NL_east,NL
46,244242,9,Angel Stadium of Anaheim,Los Angeles Angels,Boston Red Sox,2009-04-10,Final,58,cloudy,AL_west,AL
47,244243,7,Miller Park,Milwaukee Brewers,Chicago Cubs,2009-04-10,Final,62,roof closed,NL_central,NL
48,244244,8,Busch Stadium,St. Louis Cardinals,Houston Astros,2009-04-10,Final,45,cloudy,NL_central,NL
49,244245,13,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,2009-04-10,Final,75,roof closed,NL_west,NL
50,244246,17,U.S. Cellular Field,Chicago White Sox,Minnesota Twins,2009-04-10,Final,39,partly cloudy,AL_central,AL
51,244247,5,Kauffman Stadium,Kansas City Royals,New York Yankees,2009-04-10,Final,53,cloudy,AL_central,AL
52,244248,9,Land Shark Stadium,Miami Marlins,New York Mets,2009-04-10,Final,77,partly cloudy,NL_east,NL
53,244249,13,Coors Field,Colorado Rockies,Philadelphia Phillies,2009-04-10,Final,51,cloudy,NL_west,NL
54,244251,9,Oakland Coliseum,Oakland Athletics,Seattle Mariners,2009-04-10,Final,55,partly cloudy,AL_west,AL
55,244252,10,PETCO Park,San Diego Padres,San Francisco Giants,2009-04-10,Final,61,cloudy,NL_west,NL
56,244253,9,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,2009-04-10,Final,65,cloudy,AL_east,AL
57,244254,17,Comerica Park,Detroit Tigers,Texas Rangers,2009-04-10,Final,51,partly cloudy,AL_central,AL
58,244255,20,Progressive Field,Cleveland Indians,Toronto Blue Jays,2009-04-10,Final,45,overcast,AL_central,AL
59,244256,11,Turner Field,Atlanta Braves,Washington Nationals,2009-04-10,Final,73,overcast,NL_east,NL
60,244257,9,Angel Stadium of Anaheim,Los Angeles Angels,Boston Red Sox,2009-04-11,Final,63,cloudy,AL_west,AL
61,244258,11,Miller Park,Milwaukee Brewers,Chicago Cubs,2009-04-11,Final,61,roof closed,NL_central,NL
62,244259,13,Busch Stadium,St. Louis Cardinals,Houston Astros,2009-04-11,Final,58,sunny,NL_central,NL
63,244260,13,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,2009-04-11,Final,71,roof closed,NL_west,NL
64,244261,8,U.S. Cellular Field,Chicago White Sox,Minnesota Twins,2009-04-11,Final,41,sunny,AL_central,AL
65,244262,7,Kauffman Stadium,Kansas City Royals,New York Yankees,2009-04-11,Final,59,clear,AL_central,AL
66,244263,12,Land Shark Stadium,Miami Marlins,New York Mets,2009-04-11,Final,82,partly cloudy,NL_east,NL
67,244264,12,Coors Field,Colorado Rockies,Philadelphia Phillies,2009-04-11,Final,56,partly cloudy,NL_west,NL
68,244265,12,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,2009-04-11,Final,51,sunny,NL_central,NL
69,244266,13,Oakland Coliseum,Oakland Athletics,Seattle Mariners,2009-04-11,Final,56,partly cloudy,AL_west,AL
70,244267,9,PETCO Park,San Diego Padres,San Francisco Giants,2009-04-11,Final,63,partly cloudy,NL_west,NL
71,244268,6,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,2009-04-11,Final,55,cloudy,AL_east,AL
72,244269,7,Comerica Park,Detroit Tigers,Texas Rangers,2009-04-11,Final,55,sunny,AL_central,AL
73,244270,9,Progressive Field,Cleveland Indians,Toronto Blue Jays,2009-04-11,Final,42,sunny,AL_central,AL
74,244271,8,Turner Field,Atlanta Braves,Washington Nationals,2009-04-11,Final,60,cloudy,NL_east,NL
75,244272,9,Angel Stadium of Anaheim,Los Angeles Angels,Boston Red Sox,2009-04-12,Final,66,sunny,AL_west,AL
76,244273,13,Miller Park,Milwaukee Brewers,Chicago Cubs,2009-04-12,Final,61,roof closed,NL_central,NL
77,244274,3,Busch Stadium,St. Louis Cardinals,Houston Astros,2009-04-12,Final,53,cloudy,NL_central,NL
78,244275,4,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,2009-04-12,Final,76,sunny,NL_west,NL
79,244276,7,U.S. Cellular Field,Chicago White Sox,Minnesota Twins,2009-04-12,Final,35,sunny,AL_central,AL
80,244277,10,Kauffman Stadium,Kansas City Royals,New York Yankees,2009-04-12,Final,48,cloudy,AL_central,AL
81,244278,3,Land Shark Stadium,Miami Marlins,New York Mets,2009-04-12,Final,82,sunny,NL_east,NL
82,244279,12,Coors Field,Colorado Rockies,Philadelphia Phillies,2009-04-12,Final,42,overcast,NL_west,NL
83,244280,2,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,2009-04-12,Final,50,partly cloudy,NL_central,NL
84,244281,1,Oakland Coliseum,Oakland Athletics,Seattle Mariners,2009-04-12,Final,58,sunny,AL_west,AL
85,244282,7,PETCO Park,San Diego Padres,San Francisco Giants,2009-04-12,Final,68,sunny,NL_west,NL
86,244283,14,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,2009-04-12,Final,48,sunny,AL_east,AL
87,244284,10,Comerica Park,Detroit Tigers,Texas Rangers,2009-04-12,Final,55,sunny,AL_central,AL
88,244285,12,Progressive Field,Cleveland Indians,Toronto Blue Jays,2009-04-12,Final,43,sunny,AL_central,AL
89,244286,13,Turner Field,Atlanta Braves,Washington Nationals,2009-04-12,Final,65,sunny,NL_east,NL
90,244287,19,Rangers Ballpark in Arlington,Texas Rangers,Baltimore Orioles,2009-04-13,Final,65,partly cloudy,AL_west,AL
91,244288,10,Oakland Coliseum,Oakland Athletics,Boston Red Sox,2009-04-13,Final,55,partly cloudy,AL_west,AL
92,244289,16,Comerica Park,Detroit Tigers,Chicago White Sox,2009-04-13,Final,37,cloudy,AL_central,AL
93,244290,13,Miller Park,Milwaukee Brewers,Cincinnati Reds,2009-04-13,Final,61,roof closed,NL_central,NL
94,244291,6,Kauffman Stadium,Kansas City Royals,Cleveland Indians,2009-04-13,Final,43,overcast,AL_central,AL
95,244292,4,Wrigley Field,Chicago Cubs,Colorado Rockies,2009-04-13,Final,36,rain,NL_central,NL
96,244293,7,PNC Park,Pittsburgh Pirates,Houston Astros,2009-04-13,Final,53,partly cloudy,NL_central,NL
97,244294,20,Tropicana Field,Tampa Bay Rays,New York Yankees,2009-04-13,Final,72,dome,AL_east,AL
98,244295,17,Nationals Park,Washington Nationals,Philadelphia Phillies,2009-04-13,Final,53,overcast,NL_east,NL
99,244296,11,Citi Field,New York Mets,San Diego Padres,2009-04-13,Final,54,cloudy,NL_east,NL
100,244297,12,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,2009-04-13,Final,74,partly cloudy,NL_west,NL
101,244298,3,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,2009-04-13,Final,83,clear,NL_west,NL
102,244299,14,Hubert H. Humphrey Metrodome,Minnesota Twins,Toronto Blue Jays,2009-04-13,Final,69,dome,AL_central,AL
103,244300,5,Safeco Field,Seattle Mariners,Los Angeles Angels,2009-04-14,Final,48,partly cloudy,AL_west,AL
104,244301,12,Rangers Ballpark in Arlington,Texas Rangers,Baltimore Orioles,2009-04-14,Final,73,clear,AL_west,AL
105,244302,11,Oakland Coliseum,Oakland Athletics,Boston Red Sox,2009-04-14,Final,50,partly cloudy,AL_west,AL
106,244304,7,Miller Park,Milwaukee Brewers,Cincinnati Reds,2009-04-14,Final,62,roof closed,NL_central,NL
107,244305,12,Kauffman Stadium,Kansas City Royals,Cleveland Indians,2009-04-14,Final,57,clear,AL_central,AL
108,244306,6,Turner Field,Atlanta Braves,Miami Marlins,2009-04-14,Final,56,partly cloudy,NL_east,NL
109,244307,9,Tropicana Field,Tampa Bay Rays,New York Yankees,2009-04-14,Final,72,dome,AL_east,AL
110,244308,9,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,2009-04-16,Final,61,clear,NL_west,NL
111,244309,13,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,2009-04-14,Final,85,cloudy,NL_west,NL
112,244310,5,Hubert H. Humphrey Metrodome,Minnesota Twins,Toronto Blue Jays,2009-04-14,Final,70,dome,AL_central,AL
113,244311,14,Safeco Field,Seattle Mariners,Los Angeles Angels,2009-04-15,Final,53,partly cloudy,AL_west,AL
114,244312,25,Rangers Ballpark in Arlington,Texas Rangers,Baltimore Orioles,2009-04-15,Final,70,cloudy,AL_west,AL
115,244313,10,Oakland Coliseum,Oakland Athletics,Boston Red Sox,2009-04-15,Final,54,sunny,AL_west,AL
116,244314,9,Comerica Park,Detroit Tigers,Chicago White Sox,2009-04-15,Final,49,cloudy,AL_central,AL
117,244315,12,Miller Park,Milwaukee Brewers,Cincinnati Reds,2009-04-15,Final,60,roof closed,NL_central,NL
118,244316,9,Kauffman Stadium,Kansas City Royals,Cleveland Indians,2009-04-15,Final,59,partly cloudy,AL_central,AL
119,244317,7,Wrigley Field,Chicago Cubs,Colorado Rockies,2009-04-15,Final,42,overcast,NL_central,NL
120,244318,14,Turner Field,Atlanta Braves,Miami Marlins,2009-04-15,Final,59,clear,NL_east,NL
121,244319,5,PNC Park,Pittsburgh Pirates,Houston Astros,2009-04-15,Final,48,cloudy,NL_central,NL
122,244320,7,Tropicana Field,Tampa Bay Rays,New York Yankees,2009-04-15,Final,72,dome,AL_east,AL
123,244322,9,Citi Field,New York Mets,San Diego Padres,2009-04-15,Final,48,clear,NL_east,NL
124,244323,9,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,2009-04-15,Final,59,partly cloudy,NL_west,NL
125,244324,19,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,2009-04-15,Final,72,sunny,NL_west,NL
126,244325,14,Hubert H. Humphrey Metrodome,Minnesota Twins,Toronto Blue Jays,2009-04-15,Final,70,dome,AL_central,AL
127,244326,6,Safeco Field,Seattle Mariners,Los Angeles Angels,2009-04-16,Final,58,cloudy,AL_west,AL
128,244327,5,Tropicana Field,Tampa Bay Rays,Chicago White Sox,2009-04-16,Final,72,dome,AL_east,AL
129,244328,12,Yankee Stadium,New York Yankees,Cleveland Indians,2009-04-16,Final,56,partly cloudy,AL_east,AL
130,244329,8,Turner Field,Atlanta Braves,Miami Marlins,2009-04-16,Final,61,sunny,NL_east,NL
131,244330,9,PNC Park,Pittsburgh Pirates,Houston Astros,2009-04-16,Final,55,partly cloudy,NL_central,NL
132,244331,10,Nationals Park,Washington Nationals,Philadelphia Phillies,2009-04-16,Final,60,clear,NL_east,NL
133,244332,11,Citi Field,New York Mets,San Diego Padres,2009-04-16,Final,50,partly cloudy,NL_east,NL
134,244333,11,Wrigley Field,Chicago Cubs,St. Louis Cardinals,2009-04-16,Final,48,sunny,NL_central,NL
135,244334,11,Hubert H. Humphrey Metrodome,Minnesota Twins,Toronto Blue Jays,2009-04-16,Final,70,dome,AL_central,AL
136,244335,20,Hubert H. Humphrey Metrodome,Minnesota Twins,Los Angeles Angels,2009-04-17,Final,69,dome,AL_central,AL
137,244336,2,AT&T Park,San Francisco Giants,Arizona Diamondbacks,2009-04-17,Final,54,clear,NL_west,NL
138,244337,3,PNC Park,Pittsburgh Pirates,Atlanta Braves,2009-04-17,Final,69,clear,NL_central,NL
139,244338,18,Fenway Park,Boston Red Sox,Baltimore Orioles,2009-04-17,Final,67,partly cloudy,AL_east,AL
140,244339,11,Tropicana Field,Tampa Bay Rays,Chicago White Sox,2009-04-17,Final,72,dome,AL_east,AL
141,244340,3,Minute Maid Park,Houston Astros,Cincinnati Reds,2009-04-17,Final,70,roof closed,AL_west,AL
142,244341,11,Yankee Stadium,New York Yankees,Cleveland Indians,2009-04-17,Final,63,sunny,AL_east,AL
143,244342,7,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,2009-04-17,Final,65,clear,NL_west,NL
144,244343,9,Safeco Field,Seattle Mariners,Detroit Tigers,2009-04-17,Final,59,clear,AL_west,AL
145,244344,5,Nationals Park,Washington Nationals,Miami Marlins,2009-04-17,Final,72,clear,NL_east,NL
146,244345,15,Rangers Ballpark in Arlington,Texas Rangers,Kansas City Royals,2009-04-17,Final,61,cloudy,AL_west,AL
147,244346,9,Citi Field,New York Mets,Milwaukee Brewers,2009-04-17,Final,59,cloudy,NL_east,NL
148,244347,13,Rogers Centre,Toronto Blue Jays,Oakland Athletics,2009-04-17,Final,68,roof closed,AL_east,AL
149,244348,15,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,2009-04-17,Final,67,clear,NL_east,NL
150,244349,15,Wrigley Field,Chicago Cubs,St. Louis Cardinals,2009-04-17,Final,55,sunny,NL_central,NL
151,244350,11,Hubert H. Humphrey Metrodome,Minnesota Twins,Los Angeles Angels,2009-04-18,Final,70,dome,AL_central,AL
152,244351,2,AT&T Park,San Francisco Giants,Arizona Diamondbacks,2009-04-18,Final,66,sunny,NL_west,NL
153,244352,10,PNC Park,Pittsburgh Pirates,Atlanta Braves,2009-04-18,Final,68,sunny,NL_central,NL
154,244353,10,Fenway Park,Boston Red Sox,Baltimore Orioles,2009-04-18,Final,49,cloudy,AL_east,AL
155,244354,11,Tropicana Field,Tampa Bay Rays,Chicago White Sox,2009-04-18,Final,72,dome,AL_east,AL
156,244355,7,Minute Maid Park,Houston Astros,Cincinnati Reds,2009-04-18,Final,72,roof closed,AL_west,AL
157,244356,26,Yankee Stadium,New York Yankees,Cleveland Indians,2009-04-18,Final,75,partly cloudy,AL_east,AL
158,244357,14,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,2009-04-18,Final,81,sunny,NL_west,NL
159,244358,2,Safeco Field,Seattle Mariners,Detroit Tigers,2009-04-18,Final,54,cloudy,AL_west,AL
160,244359,15,Nationals Park,Washington Nationals,Miami Marlins,2009-04-18,Final,72,sunny,NL_east,NL
161,244360,2,Rangers Ballpark in Arlington,Texas Rangers,Kansas City Royals,2009-04-18,Final,73,partly cloudy,AL_west,AL
162,244361,1,Citi Field,New York Mets,Milwaukee Brewers,2009-04-18,Final,67,partly cloudy,NL_east,NL
163,244362,6,Rogers Centre,Toronto Blue Jays,Oakland Athletics,2009-04-18,Final,68,roof closed,AL_east,AL
164,244363,13,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,2009-04-18,Final,72,partly cloudy,NL_east,NL
165,244364,12,Wrigley Field,Chicago Cubs,St. Louis Cardinals,2009-04-18,Final,69,cloudy,NL_central,NL
166,244365,4,Hubert H. Humphrey Metrodome,Minnesota Twins,Los Angeles Angels,2009-04-19,Final,69,dome,AL_central,AL
167,244366,2,AT&T Park,San Francisco Giants,Arizona Diamondbacks,2009-04-19,Final,73,sunny,NL_west,NL
168,244367,12,PNC Park,Pittsburgh Pirates,Atlanta Braves,2009-04-19,Final,68,cloudy,NL_central,NL
169,244368,3,Fenway Park,Boston Red Sox,Baltimore Orioles,2009-04-19,Final,49,partly cloudy,AL_east,AL
170,244369,14,Tropicana Field,Tampa Bay Rays,Chicago White Sox,2009-04-19,Final,72,dome,AL_east,AL
171,244370,6,Minute Maid Park,Houston Astros,Cincinnati Reds,2009-04-19,Final,74,partly cloudy,AL_west,AL
172,244371,10,Yankee Stadium,New York Yankees,Cleveland Indians,2009-04-19,Final,59,cloudy,AL_east,AL
173,244372,16,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,2009-04-19,Final,91,partly cloudy,NL_west,NL
174,244373,10,Safeco Field,Seattle Mariners,Detroit Tigers,2009-04-19,Final,63,partly cloudy,AL_west,AL
175,244374,11,Nationals Park,Washington Nationals,Miami Marlins,2009-04-19,Final,67,cloudy,NL_east,NL
176,244375,11,Rangers Ballpark in Arlington,Texas Rangers,Kansas City Royals,2009-04-19,Final,68,partly cloudy,AL_west,AL
177,244376,6,Citi Field,New York Mets,Milwaukee Brewers,2009-04-19,Final,59,cloudy,NL_east,NL
178,244377,1,Rogers Centre,Toronto Blue Jays,Oakland Athletics,2009-04-19,Final,68,roof closed,AL_east,AL
179,244378,9,Citizens Bank Park,Philadelphia Phillies,San Diego Padres,2009-04-19,Final,66,sunny,NL_east,NL
180,244380,5,Nationals Park,Washington Nationals,Atlanta Braves,2009-04-20,Final,58,overcast,NL_east,NL
181,244381,13,Fenway Park,Boston Red Sox,Baltimore Orioles,2009-04-20,Final,46,cloudy,AL_east,AL
182,244382,7,Minute Maid Park,Houston Astros,Cincinnati Reds,2009-04-20,Final,77,clear,AL_west,AL
183,244383,9,Chase Field,Arizona Diamondbacks,Colorado Rockies,2009-04-20,Final,92,clear,NL_west,NL
184,244384,8,PNC Park,Pittsburgh Pirates,Miami Marlins,2009-04-20,Final,53,cloudy,NL_central,NL
185,244387,7,Nationals Park,Washington Nationals,Atlanta Braves,2009-04-21,Final,54,cloudy,NL_east,NL
186,244388,13,Oriole Park at Camden Yards,Baltimore Orioles,Chicago White Sox,2009-04-21,Final,57,cloudy,AL_east,AL
187,244389,9,Wrigley Field,Chicago Cubs,Cincinnati Reds,2009-04-21,Final,40,cloudy,NL_central,NL
188,244390,15,Chase Field,Arizona Diamondbacks,Colorado Rockies,2009-04-21,Final,94,clear,NL_west,NL
189,244391,7,Angel Stadium of Anaheim,Los Angeles Angels,Detroit Tigers,2009-04-21,Final,82,clear,AL_west,AL
190,244392,5,PNC Park,Pittsburgh Pirates,Miami Marlins,2009-04-21,Final,51,drizzle,NL_central,NL
191,244393,15,Progressive Field,Cleveland Indians,Kansas City Royals,2009-04-21,Final,48,overcast,AL_central,AL
192,244394,13,Minute Maid Park,Houston Astros,Los Angeles Dodgers,2009-04-21,Final,83,clear,AL_west,AL
193,244395,15,Citizens Bank Park,Philadelphia Phillies,Milwaukee Brewers,2009-04-21,Final,65,partly cloudy,NL_east,NL
194,244397,10,Busch Stadium,St. Louis Cardinals,New York Mets,2009-04-21,Final,58,clear,NL_central,NL
195,244398,8,Yankee Stadium,New York Yankees,Oakland Athletics,2009-04-21,Final,54,cloudy,AL_east,AL
196,244399,11,AT&T Park,San Francisco Giants,San Diego Padres,2009-04-21,Final,77,clear,NL_west,NL
197,244400,6,Safeco Field,Seattle Mariners,Tampa Bay Rays,2009-04-21,Final,62,partly cloudy,AL_west,AL
198,244401,9,Rogers Centre,Toronto Blue Jays,Texas Rangers,2009-04-21,Final,68,roof closed,AL_east,AL
199,244402,1,Nationals Park,Washington Nationals,Atlanta Braves,2009-04-22,Final,54,cloudy,NL_east,NL
200,244403,10,Oriole Park at Camden Yards,Baltimore Orioles,Chicago White Sox,2009-04-22,Final,46,partly cloudy,AL_east,AL
201,244404,3,Wrigley Field,Chicago Cubs,Cincinnati Reds,2009-04-22,Final,45,partly cloudy,NL_central,NL
202,244405,2,Chase Field,Arizona Diamondbacks,Colorado Rockies,2009-04-22,Final,77,roof closed,NL_west,NL
203,244406,22,Angel Stadium of Anaheim,Los Angeles Angels,Detroit Tigers,2009-04-22,Final,61,partly cloudy,AL_west,AL
204,244407,11,PNC Park,Pittsburgh Pirates,Miami Marlins,2009-04-22,Final,42,cloudy,NL_central,NL
205,244408,2,Progressive Field,Cleveland Indians,Kansas City Royals,2009-04-22,Final,48,cloudy,AL_central,AL
206,244409,11,Minute Maid Park,Houston Astros,Los Angeles Dodgers,2009-04-22,Final,83,clear,AL_west,AL
207,244410,4,Citizens Bank Park,Philadelphia Phillies,Milwaukee Brewers,2009-04-22,Final,52,cloudy,NL_east,NL
208,244411,10,Fenway Park,Boston Red Sox,Minnesota Twins,2009-04-22,Final,52,rain,AL_east,AL
209,244412,7,Busch Stadium,St. Louis Cardinals,New York Mets,2009-04-22,Final,71,clear,NL_central,NL
210,244413,16,Yankee Stadium,New York Yankees,Oakland Athletics,2009-04-22,Final,56,cloudy,AL_east,AL
211,244414,1,AT&T Park,San Francisco Giants,San Diego Padres,2009-04-22,Final,73,sunny,NL_west,NL
212,244415,12,Safeco Field,Seattle Mariners,Tampa Bay Rays,2009-04-22,Final,48,roof closed,AL_west,AL
213,244416,15,Rogers Centre,Toronto Blue Jays,Texas Rangers,2009-04-22,Final,68,roof closed,AL_east,AL
214,244417,8,Oriole Park at Camden Yards,Baltimore Orioles,Chicago White Sox,2009-04-23,Final,57,clear,AL_east,AL
215,244418,8,Wrigley Field,Chicago Cubs,Cincinnati Reds,2009-04-23,Final,51,partly cloudy,NL_central,NL
216,244419,15,Angel Stadium of Anaheim,Los Angeles Angels,Detroit Tigers,2009-04-23,Final,64,partly cloudy,AL_west,AL
217,244420,7,Progressive Field,Cleveland Indians,Kansas City Royals,2009-04-23,Final,44,sunny,AL_central,AL
218,244421,2,Minute Maid Park,Houston Astros,Los Angeles Dodgers,2009-04-23,Final,73,roof closed,AL_west,AL
219,244422,7,Citizens Bank Park,Philadelphia Phillies,Milwaukee Brewers,2009-04-23,Final,55,cloudy,NL_east,NL
220,244423,20,Busch Stadium,St. Louis Cardinals,New York Mets,2009-04-23,Final,74,partly cloudy,NL_central,NL
221,244424,1,Safeco Field,Seattle Mariners,Tampa Bay Rays,2009-04-23,Final,52,cloudy,AL_west,AL
222,244425,7,Rogers Centre,Toronto Blue Jays,Texas Rangers,2009-04-23,Final,68,roof closed,AL_east,AL
223,244426,7,Great American Ball Park,Cincinnati Reds,Atlanta Braves,2009-04-24,Final,83,partly cloudy,NL_central,NL
224,244427,7,Busch Stadium,St. Louis Cardinals,Chicago Cubs,2009-04-24,Final,81,clear,NL_central,NL
225,244428,7,Kauffman Stadium,Kansas City Royals,Detroit Tigers,2009-04-24,Final,79,clear,AL_central,AL
226,244429,11,Coors Field,Colorado Rockies,Los Angeles Dodgers,2009-04-24,Final,59,cloudy,NL_west,NL
227,244430,7,Minute Maid Park,Houston Astros,Milwaukee Brewers,2009-04-24,Final,73,roof closed,AL_west,AL
228,244431,6,Progressive Field,Cleveland Indians,Minnesota Twins,2009-04-24,Final,82,cloudy,AL_central,AL
229,244432,9,Fenway Park,Boston Red Sox,New York Yankees,2009-04-24,Final,63,clear,AL_east,AL
230,244433,10,Land Shark Stadium,Miami Marlins,Philadelphia Phillies,2009-04-24,Final,79,partly cloudy,NL_east,NL
231,244434,7,PETCO Park,San Diego Padres,Pittsburgh Pirates,2009-04-24,Final,62,cloudy,NL_west,NL
232,244435,11,Angel Stadium of Anaheim,Los Angeles Angels,Seattle Mariners,2009-04-24,Final,62,partly cloudy,AL_west,AL
233,244436,6,Chase Field,Arizona Diamondbacks,San Francisco Giants,2009-04-24,Final,88,partly cloudy,NL_west,NL
